,comment
4790,"Đã 9 năm rồi chúng tôi quay lại Furama. Cảnh quan vẫn đẹp như vậy và tôi rất hài lòng với dịch vụ cũng như thái độ nhiệt tình, mến khách của Resort. Có 1 góp ý nho nhỏ về wc nên được trang bị thêm vòi xịt sẽ hoàn hảo hơn"
4791,"Phòng đẹp,view biển đẹp,nhân viên phục vụ thân thiện chu đáo,buffet nhiều món để lựa chọn . khuôn viên Nhiều cây xanh để đi dạo.nhìn chung khá hài lòng với furama .có thể lựa chọn khi đến Đà Nẵng cùng gia đình ."
4792,"View đẹp, dịch vụ tốt, phục vụ tận tình, chu đáo. Phòng sạch sẽ, tiện nghi. Nhân viên tận tình, chỉ dẫn chu đáo. Viêw biển đẹp, an toàn. Bể bơi sạch sẽ. Nhiều dịch vụ thú vị, hội nghị đẹp, sang trọng."
4793,"Cảm thấy hài lòng về chuyến đi , nhân viên chăm sóc khách hàng chu đáo và tốt , resot nằm trên bãi biễn rất đẹp , riêng sãnh lễ tân hơi nóng nên bắt thêm quạt và điều hoà , phòng hội nghị hoành tráng , sang trọng . Có nhiều dịch vụ kèm theo trong resot . Cảm thấy hài lòng về chuyến đi"
4794,"Đi hội nghị khách hàng tại đây quá tuyệt vời. Phòng ốc sạch sẽ, đầy đủ tiện nghi, view đẹp. Sáng sớm được tận hưởng khí trời trong lành và được tắm trên một bãi biển đẹp, sạch sẽ. Nhân viên phục vụ nhiệt tình, chăm sóc khách hàng chu đáo. Chúng tôi nếu có cơ hội quay lại Đà Nẵng thì sẽ quay lại Furama thơ mộng này. See you again."
4795,"Tôi đã cùng con gái trải nghiệm kỳ nghỉ tuyệt vời tại đây, bãi biển đẹp, dịch vụ hoàn hảo, nhân viên thân thiện, chuyên nghiệp và nhiệt tình. Đồ ăn ổn. Cảm ơn các bạn đã giúp tôi có trải nghiệm hạnh phúc cùng con"
4796,"Nhân viên than thiện Dịch vụ tốt, không gian thoáng đãng, cảnh quang đẹp và sát biển, dễ đi chuyển đến các địa điểm khác, gần trung tâm Đà Nẵng với các tiện nghi mua sắm khác. Có bể bơi to rộng và gần gũi vớ thiên nhiên"
4797,"Rất hài lòng khi lần đầu tiên đến khách sạn,được nhân viên ở đây phục vụ nhiệt tình chu đáo.Đặc biệt là bộ phận lễ tân.Hỗ trợ nhận phòng sớm.Phòng đẹp,view biển cũng rất đẹp.Gia đình sẽ quay lại vào kỳ nghỉ tiếp."
4798,"Phòng sạch sẽ Hồ bơi đẹp Vườn xinh Bãi biển đẹp, có chỗ vui chơi Đợt này mình đi được 1 anh bảo an chỉ cho xem đàn cá mài buổi đêm rất đẹp mắt. Chỗ phòng chờ nên cho thêm ít tí mát mẻ dễ chịu hơn. Mình sẽ quay trở lại"
4799,Môi trường sạch sẽ nhân viên phục vụ tốt đồ ăn thức uống ngon tạo trả nghiệm tốt cho khách thoải mái bãi biển đẹp có nhiều phòng hoạt dộng giải trí tốt sau chuyến đi trải nghiênm lần này sẽ giới thiệu cho bạn bè biết thêm về khách sạn
4800,"Cảm giác thật ấm áp khi bước vào Furama Villas Đà Nẵng! Bể bơi và bãi biển tuyệt vời.Đặc biệt nhất là bể bơi giữa “khu rừng nhiệt đới” với hàng cây xanh mát và rất nhiều những cây hoa giấy rực rỡ sắc màu.Trẻ con sẽ không muốn rời Club house bởi những trò chơi thú vị và không gian thoáng đãng. Mỗi lần đến Furama,mình đều cảm thấy thoải mái và hài lòng bởi thái độ phục vụ rất thân thiện và chuyên nghiệp của đội ngũ nhân viên nhất là bộ phận lễ tân và xe điện. Những trải nghiệm tuyệt vời xứng tầm 5*! Một kì nghỉ ấm áp và nhiều niềm vui!💖"
4801,"Quang cảnh Furama rất đẹp. Đồ ăn sáng đa dạng và phong Phú. Nếu nhà hàng thêm món xôi trắng vào thực đơn thì sẽ rất tuyệt vời. nhân viên thân thiện, nhiệt tình, chu đáo. phòng ốc sạch sẽ và đẹp. Tôi rất thích ngôn ngữ thiết kế theo văn hoá chăm pa. rất ấn tượng"
4802,"Rất tốt, sẽ giới thiệu cho bạn bè và người thân. Ăn sáng ok, nhân viên phục vụ nhiệt tình, luôn hỗ trợ. Bể bơi sạch sẽ, có nhân viên cứu hộ, bãi biển riêng không quá đông, landscape đẹp, nhiều cây cối"
4803,Sau khi đến đây: Hài lòng về dịch vụ ăn uống Và cảnh quan khu resort Cần cải thiện về chất lượng đồ gỗ trong phòng Nhân viên resort nhiệt tình chu đáo. Sau 3 ngày ở tại furama đánh giá chất lượng tốt.
4804,"Nhân viên phục vụ rất tốt, bãi bãi sạch đẹp, là điểm nghỉ dưỡng dành cho ngày dài làm việc vất vả. Hồ bơi có nhiều cây xanh, có phòng trẻ em, mình sẽ giới thiệu người thân đến đây nghỉ dưỡng trong lần tiếp theo"
4805,"Phòng ốc rộng rãi, sạch sẽ, tiện ích đầy đủ. Không gian resort sạch sẽ, nhiều cây xanh, cảnh đẹp, chất lượng hồ bơi rất tốt, sạch và đẹp, bãi biển đẹp, các tiện ích phục vụ khách đầy đủ, nhân viên nhiệt tình và chu đáo"
4806,Cảm Nhận của Tôi về: ' FURAMA ' từ lúc: ' Check In đến lúc Check Out: ' Nhân Viên Rất: ' Chu Đáo và Nhiệt Tình- Đặc Biệt là: ' Anh Minh bên Bộ Phận: ' Chăm Sóc Khách Hàng luôn: ' Quan Tâm đến Tất Cả Khách Hàng làm cho Tôi Rất Hài Lòng khi Trãi Nghiệm tại đây... Phòng Ốc: ' Đẹp và Rộng Rãi+ Thoáng Mát với Nhiều Cây Cối trong Vườn+ Dọc Bãi Biển... Nhân Viên Cứu Hộ: ' Anh Đức ' luôn theo Sát và Hướng Dẫn Khách những nơi có Vị trí Sâu và Nguy Hiểm... Các Món Ăn ở đây: ' Đa Dạng theo Ngày '... có 1 Chi Tiết rất Nhỏ: ' Nhờ Khách Sạn Khắc Phục Thêm: ' Cần có Vài: ' Ổ Cắm Điện 2 Trấu' và Kèm theo: ' Ổ Cắm 3 Trấu ' sẽ Nhiều Lựa Chọn Hơn cho Khách... Tôi Chắc Chắn sẽ Quay Lại và Giới Thiệu với Bạn Bè của Tôi.
4807,"Nếu bạn ở lứa tuổi U 50 và bạn đã trải qua nhiều những khách sạn tiện nghi hiện đại nhưng chưa có ấn tượng của một lần nghỉ dưỡng đúng nghĩa, hảy thử Đà Nẳng Furama resort. Ngoài bãi biển riêng hơi hiếm có thời nay, Furama resort hoàn toàn khác biệt bởi vẻ phong lưu cổ điển kiểuTây xưa. Nhưng đăc biêt là với kiến trúc hành lang trên không giữa các phòng xuyên qua vườn cây nhìn như là đi xuyên cánh rừng già với tiếng chim ríu rít. dỉ nhiên còn nhiều thứ ở đây phải thực tế trải nghiệm để cảm nhận theo khẩu vị riêng tưng người. Riêng cá nhân mình thì phải nói là tuyêt vời và sẻ quay lại để trải nghiệm kỷ hơn."
4808,"Dịch vụ tốt , nhân viên thân thiện nhiệt tình , view đẹp , phòng sạch sẽ , rất tốt , nhân viên Tín , Tung hướng dẫn nhiệt tình chu đáo , phục vụ sáng tốt , hồ bơi đẹp , sạch sẽ , spa nhân viên tận tình rất tốt"
4809,"Sau khi xem đánh giá trên các trang booking thì mình quyết định chọn resort này vì : 🌼 Khuôn viên resort rộng vừa đủ, đi bộ ra biển hay hồ bơi gần 🌼 Nếu tìm trên gg map thì sẽ thấy resort có nhiều cây xanh nhất, điểm này mình rất thích 🌼Gần trung tâm, thuận tiện đi lại Trải nghiệm tại resort theo mình cảm nhận như sau: 🌸 Nv ân cần, chu đáo, nhiệt tình, khi gặp khách luôn mỉm cười, cúi đầu chào 🌸 Phòng mình 305 view biển nhưng thấy biển chắc 40-50% thôi về bị cây dừa cao che rồi, mình chọn phòng vì có bồn tắm , con mình rất thích 🌸 Do resort xây dựng gần 20 năm nên phong cách ko còn hiện đại nữa, nhưng vẫn tạo sự gần gũi, ấm áp. Điểm trừ là bh vẫn xài 2 thẻ, 1 thẻ mở cửa phòng, 1 thẻ trắng gắn vào để bật chế độ nguồn điện trong phòng. 🌸 Resort có 2 khu bơi:"
4810,"Khách sạn thật tuyệt vời, đẹp, sang trọng. Phòng ốc sạch sẽ. Nhân viên nhiệt tình, thân thiện, chu đáo. Khi KS biết thông tin tôi đến nghỉ ở đây để kỷ niệm ngày cưới. Khách sạn đã tặng bánh và hoa cho vợ chồng tôi. Thật ấm áp, thân thiện."
4811,Khi đi mình có nói trước honeymoon và resort đã chuẩn bị rất chu đáo honeymoon cho vợ chồng mình và gây bất ngờ. Dịch vụ bể bơi và và dịch vụ phòng rất ok. Phòng view đẹp và có bể bơi và có cả buffet sáng.
4812,"Phòng đệp nha mn ơi, a/c nhân viên lễ tân cũng dễ xương nữa, đặt phòng mà báo resort mình đi Honey moon cái là họ chuẩn bị quà đón tiếp cực kỳ chu đáo luôn, bánh chúc mừng nè, còn có quà tặng mang về nữa, mình còn được up phòng free nữa thích xỉu, sẽ quay lại lần thứ n nha."
4813,"Đây là lần đầu tiên tôi và gia đình đến với Furama. Những trải nghiệm ở Furama thật tuyệt vời. Ăn sáng rất phong Phú và đa dạng, hợp khẩu vị. nhân viên rất nhiệt tình và chu đáo. hồ bơi rất đẹp và sạch sẽ. Chắc chắn sẽ quay lại đâu vào một ngày gần nhất. Cảm ơn Furama đã mang đến một kì nghĩ thật tuyệt vời cho gia đình tôi."
4814,Phòng ở phù hợp với yêu cầu của gia đình. Đồ ăn sáng đa dạng và đảm bảo chất lượng tốt. Phong canh xung quanh rất là đẹp và thoáng mát nha. Tuy nhiên hệ thống tivi vẫn còn chưa cập nhật được so với hiện nay. Khóa cửa hơi khó mở. Tóm lại mọi thứ đều tốt.
4815,"1. Review về cảnh quan: tổng quan chung view rất đẹp xứng đáng 10 điểm, nhiều cây xanh mát, tuy nhiên lobby sẽ hơi nóng vào ban ngày 2. Chất lượng phục vụ: nhân viên, lê tân, đều rất tận tâm, chuyên nghiệp, nhiệt tình 3. Buffe ăn sáng ngon, xứng đáng 5 sao"
4816,"Dịch vụ rất tốt, nhân viên rất thân thiện. Mình vô ĐN lúc đêm và lại có chút trục trặc với bên Agoda, mình có hơi nóng tính chút nhưng nhân viên vẫn rất niềm nở nhẹ nhàng giải thích và hướng dẫn. Cuối cùng mọi việc êm xuôi. Hôm sau anh nhân viên tên Minh còn chơi với bạn bé nhà mình rồi bê đồ ra tận ngoài"
4817,"Cám ơn Furuma đã cho gia đình bạn bè em một chuyến du lịch trải nghiệm thật ý nghĩ và vui vẻ ! Cảnh đẹp , hồ bơi bờ biển riêng sạch sẽ , phòng ốc lại sang trọng quan trọng có nhiều góc sống ảo 😝 Ấn tượng nhat là gia đình mình biết được em Tín bộ phận chăm sóc khách hàng nhờ em mà gia đình tụi chị có 1 trãi nghiệm thật happy ! Cám ơn em nha 🥰"
4818,"Đến Furama là trải nghiệm rất tuyệt vời của gia đình mình. Mình ấn tượng với không gian đồ ăn và sự phục vụ chu đáo, nhất là anh Minh bộ phận chăm sóc khách hàng, đã giúp gia đình mình có những trải nghiệm rất happy khi quay lại Đà Nẵng sau 1 năm."
4819,"Cảnh đẹp, nhân viên phục vụ thân thiện, đồ ăn ngon, đa dạng. Bãi biển sạch sẽ, có gôn chơi bóng, phòng sạch đầy đủ tiện nghi. Bể bơi sạch có nhân viên cứu hộ túc trực Sẽ quay lại vào lần sau nếu đến Đà Nẵng"
4820,"Đẹp và sạch sẽ, khách sạn rất am hiểu nhu cầu của khách hàng. Mọi thứ đều chỉnh chu và đem lại cho tụi em cái nhìn rất thiện cảm. Qua cơ hội được tham quan lần này, tụi em luôn mong muốn được làm việc trong môi trường này"
4821,"Mình có kỳ nghĩ cùng cơ quan tại đây, đoàn khá đông nhưng độ tập trung của các bạn rất cao và không bỏ sót bất kỳ khách hàng nào. Mình còn được trả phòng trễ mà không mất thêm phí. Khách sạn có phần hơi cũ nhưng dịch vụ vẫn đảm bảo, nên vẫn rất xứng đáng nha! Mùa này đang vào mùa du lịch tại Đà Nẵng nên mọi người đi thì cảnh rất đẹp... Hẹn gặp lại Đà Nẵng, hẹn gặp lại Furama"
4822,"Nhân viên nhiệt tình, phục vụ chu đáo, thân thiện, ấm áp, và cảm nhận được như mình đang ở một nơi rất thân thuộc. Món ăn ngon, rất hợp khẩu vị. Khung cảnh thiên nhiên yên tĩnh, thư giãn! Cám ơn Furama Resort Đà nẳng !"
4823,"Không gian yên tĩnh, thư giản. Decor set up ở phòng rất là ấm cúng.Khách sạn nằm ở vị trí rất lý tưởng, dễ đi lại. Nhân viên nhiệt tình và thân thiên, các anh cứu hộ rất nhiệt tình trong việc hướng dẫn khách. Chắc chắn sẽ quay lại vào một ngày gần nhất"
4824,Hoàn toàn hài lòng với dịch vụ tại Furama Nhân viên nhiệt tình Check in thuận tiện Bãi biển đẹp và nhiều dịch vụ Phòng sạch sẽ dịch vụ xe đưa đón sẵn tiện Nhất định sẽ quay lại đây một lần nữa với gia đình
4825,"COVID tháng 7/2020 , ngày đầu tiên Đà nẳng thực hiện chỉ thị 16 . Trước 0g ngày đầu tiên , mọi du khách đều tháo chạy khỏi Đà nẳng , chúng tôi đoàn 9 người đành hủy bỏ chuyến nghỉ dưỡng tại Furama Resort Đà nẳng . Nhưng Furama rất hào phóng và đầy nhân văn đã lưu giử cho chúng tôi đến khi hết dịch . Và tháng 05/2022 đoàn chúng tôi chỉ có 5 người đến đây và rất thích với kỳ nghỉ này . Cám ơn Furama Resort Đà nẳng !"
4826,"Mình đã ở rất nhiều Resort nhưng chỉ có Furama là làm mình ấn tượng nhất. View đẹp. Nhân viên hết sức dễ thương, rồi cách phục vụ cho đến thức ăn của nhà hàng không thể không hài lòng. Các bạn nhân viên tạo cho mình cảm giác như ở nhà, luôn thân thiện, gặp đâu cũng cười. Minh thích nhất ở điểm này. Sẽ quay lại Furama trong kỳ nghỉ hè sắp đến."
4827,"KS gần bãi biển, hồ bơi sạch và mát mẻ. Dịch vụ rất tốt, phòng sạch sẽ, nhân viên thân thiện, nhiệt tình. Có dịp quay lại Đà Nẵng sẽ chọn Furama Resort. Xin cảm ơn đội ngũ nhân viên khách sạn rất nhiều."
4828,"Quay lại Furama sau thời gian dài ảnh hưởng vì dịch bệnh, mọi thứ đều tốt như lúc trước. Đồ ăn rất ngon và đa dạng, phòng sạch sẽ và rất thoáng. Cả gia đình mình đã có một kỳ nghỉ lễ rất đáng nhớ. Các bạn nhân viên rất dễ thương và thân thiện. Điểm 10 cho chất lượng"
4829,"Phòng hướng biển thật sự rất tuyệt vời, view đẹp và thoáng mát. Ngồi ở ban công ngắm biển là trải nghiệm rất tuyệt. Các bạn nhân viên ai cũng thân thiện. Hồ bơi tuy hơi nhỏ nhưng rất đẹp là sạch. Cám ơn Furama đã mang lại cho mình kỳ nghỉ lễ đáng nhớ."
4830,"Đồ ăn sáng siêu tệ, chờ lâu. Đồ ăn trưa gọi về phòng mì ý khô cứng nguội lạnh, pizza thì chưa chín. Hỏi gì nhân viên cũng không biết. Siêu lắm muỗi, không thể ngủ được vì muỗi, trẻ con bị muỗi đốt sưng hết cả người. Đèn phòng tối, bật hết các đèn vẫn lờ mờ, đèn đường tối. Khó gọi xe điện."
4831,"Bãi biển đẹp, bữa sáng ngon và nhân viên thân thiện. Đi vào trung tâm thành phố và sân bay cũng gần nữa. Resort khá phù hợp với cặp đôi hoặc gia đình có trẻ nhỏ, bể bơi cho các bé ngoài trời và kid club đều rộng. Sẽ quay lại!"
4832,"Resort đẹp, sạch sẽ, view biển yên tĩnh, nhiều cây xanh thoáng mát. Nhân viên phục vụ rất niềm nở và ân cần. Vị trí gần trung tâm thuận tiện di chuyển Sẽ giới thiệu cho bạn bè và gia đình khi đến Đà Nẵng"
4833,"Một kỳ nghĩ tuyệt vời với dịch vụ phòng đẹp , sạch sẽ và rất lãng mạng chăc không ở đâu có thể cạnh tranh được với sự sạch sẽ và gần gủi tại đây. cả gia đình có 2 đêm nghĩ dưỡng tại villas của resort và gia đình cực kỳ hài lòng với nhưng dịch vụ nơi này. Nhân viên thân thiệt chăm sóc nhiệt tình. Gia đình có người mệt và được các bác sĩ và nhân viên tại đây đến tận nơi chăm sóc rất chu đáo. bạn sẽ không phải lo lắng gì khi ở đây."
4834,"Rất tốt, không gian thoáng mát, sạch sẽ. Nhân viên chuyên nghiệp, đặc biệt Mr. Minh (bộ phận GRE) rất chuyên nghiệp và nhiệt tình đã hỗ trợ chúng tôi trong suốt kỳ nghỉ. Sẽ quay lại Furama resort khi có dịp 👍👍👍"
4835,Sạch sẽ. Chu đáo. Đặc biệt là view nhìn ra biển hoặc vườn đều rất xinhh. Đồ ăn cũng rất vừa miệng. Nhìn tổng quát có thể chấm 9.5/10 lun nè mn. Lần sau có dịp vào Đà Nẵng chắc chắn tui sẽ ở đây thêm 1 lần nứaaa
4836,"Trải nghiệm tốt sẽ quay lại lần sau, a Minh bộ phận chăm sóc khách hàng, một ông anh gọi thuê xe hướng dẫn khách cũng rất nhiệt tình, nói chung toàn bộ nhân viên phục vụ tại furama để lại ấn tượng nhiệt tình và gần gũi, chúc các a chị liên tục phát triển !"
4837,"Khách sạn rất tuyệt vời. Tôi cảm nhận được sự nhiệt tình từ mr Minh tài xế ngay từ khi xuống Sân bay. Khi về đến Khách sạn, tôi lại một lần nữa nhật được sự nhiệt tình, chu đáo của các bạn lễ tân, hành lý và hỗ trợ hành khách. Vô tình, lại có một anh Minh nữa (Minh GRE ) là người mang đến cho tôi những ấn tượng tốt đẹp nhất. Sự chu đáo, tậm tình và nhiệt thành của anh đã mang đến cho tôi những cảm xúc tuyệt vời. Tôi xin gửi đến anh không chỉ là cảm ơn, mà hơn thế, muốn gửi đến anh sự biết ơn vì những điều anh làm có lẽ còn lớn hơn nhiều những trách nhiệm mà anh phải thực hiện. Thật may mắn cho tổ chức làm việc có những người như các anh. Thật may mắn cho tôi khi được nghỉ cùng gia đình tại một điểm nghĩ dưỡng tốt và phù hợp như vậy. Chúc các bạn sẽ đón nhận được thêm nhiều sự"
4838,"Gia đình mình có một kỳ nghỉ ngắn ngày đến Đà Nẵng và mình đã chọn địa điểm nghỉ dưỡng là Furama Resort. Khung cảnh đẹp, mát mẻ, nhiều cây, nhân viên nhiệt tình. Có dịp gia đình mình sẽ quay trở lại khách sạn."
4839,"Phòng khách sạn sạch, đẹp. Nhân viên thân thiện. Nhất định sẽ quay lại trong thời gian tới. Vườn cây rất xanh nhưng thiếu mầu sắc, nếu thêm nhiều hoa hơn thì vườn sẽ rất đẹp. Thời tiết cũng rất đẹp😀❤️😍"
4840,"Tôi và các bạn có 2 đêm nghỉ tại Furama Resort Đà Nẵng,từ khâu tiếp đón và dịch vụ rất tốt và thoải mái. Đặc biệt anh Minh (GRE) rất thân thiện và nhiệt tình. Tôi sẽ quay lại vào dịp khác cùng gia đình."
4841,"Staff thân thiện, phòng sạch sẽ. Gia đình mình có 1 bé 5 tuổi được support rất nhiệt tình, giường thì cực rộng. Sẽ quay lại lần nữa nếu mình có dịp đến Đà Nẵng lần nữa. Bạn lễ tân tên Minh vô cùng chu đáo."
4842,"Tolle Service!!! Nette Staff!! Alles ist tollllllllll. Ich werde mehrmal wiederkommen ♥️ Wenn ich hier bleiben bin, fühle ich mich sehr gut. Dịch vụ rất tuyệt! Nhân viên rất lịch sự. Tôi chắc chắn sẽ quay lại Furama nhiều lần nữa. Cảm ơn khách sạn đã mang lại trải nghiệm tuyệt vời cho tôi♥️"
4843,"Một buổi thăm quan đáng nhớ, đáng trân trọng của 1 sinh viên năm nhất như em. Furama rất đẹp, rất sang trọng và hiện đại, phù hợp cho nhiều tầng lớp khách hàng. Nhìn thấy được sự quy chuẩn và cách làm việc nghiêm túc của các bộ phận nhân sự trong Furama. Rất mong muốn có cơ hội quay trở lại Furama."
4844,"Nhân viên dễ thương, nhiệt tình, bufet đa dạng và ngon, hồ bơi view biển rất đẹp nhưng tiếc là thời tiết quá lạnh kg dám xuống bơi. Sẽ quay lại vào một dịp khác. Rất thích phong cảnh nơi đây, chụp hình ở góc độ nào cũng đẹp 😉"
4845,"khách sạn có không gian rất đẹp, nhân viên phục vụ chu đáo, bánh kem sinh nhật được tặng vào cuối ngày sinh Nhật. Không gian của nhà hàng ấm cúng trong những ngày mưa. Buffet sáng đa dạng món ăn và rất ngon"
4846,"Dù đi đúng dịp cuối tuần khách sạn có khá đông khách tuy nhiên chất lượng dịch vụ vẫn rất ok và nhân viên rất thân thiện. Phòng đẹp và sạch sẽ, tuy nằm hơi xa sảnh nhưng bù lại rất yên tĩnh. Hồ bơi view biển đẹp và sạch. Rất cảm ơn các bạn nhân viên ở đây đã"
4847,Phòng rất sạch sẽ và đẹp. Đồ ăn sáng rất ngon và đa dạng. Các bạn nhân viên lễ tân rất thân thiện và nhiều tình. Tuy thời tiết không ủng hộ nhưng vẫn có kỳ nghỉ rất vừa ý. Chắc chắc sẽ quay lại trong tương lai
4848,"Đáng để quay lại, mọi người thân thiện dễ thương, bể bơi rất đẹp, các bạn nhân viên chăm sóc khách hàng rất dễ thương và chuyên nghiệp, phòng ốc rất tiện nghi, gần với trung tâm thành phố và hội an nen rất dễ đi lại"
4849,"Dịch vụ rất tốt, các anh bellman đều rất nhiệt tình, nhân viên lao công và quản lý rất chú ý đến việc giữ vệ sinh không gian resort. Do lần này vô tình công tác ở resort nhưng mình cũng thấy được nhiệt tình của nhân viên. Lần tới mình sẽ đến nữa."
4850,"Nhân viên từ lễ tân, tạp vụ,..v..v đều rất nhiệt tình và hỗ trợ mình hết mình luôn, mình gặp một vài trục trặc nhỏ mà không nhờ nhân viên ở đây hỗ trợ thì cũng không xong được việc nên cực kì recommend cho mọi ng nha"
4851,"Khu resort vẫn giữ được phong cách riêng có được từ lâu, mặc dù đang trong quá trình cải tạo và chuyển đổi. Điểm ấn tượng nổi bật là sự nhiệt tình phục vụ, thấu hiểu nhu cầu của khách để luôn tìm cách đáp ứng trong điều kiện có thể. Đội ngũ quản lí và nhân viên ở Furama để ý những chi tiết nhỏ, mang lại niềm vui bất ngờ cho mình!"
4852,"Gia đình mình đã có một kỳ nghỉ rất tuyệt tại Furama Đà Nẵng. Mình đặc biệt thích khuôn viên khu vườn, rất nhiều cây cối nhìn rất relax. Phòng nghỉ rộng rãi, gia đình mình đặt 2 phòng có ban công thông nhau. Bể bơi KS có view rất đẹp để chụp ảnh, ngoài ra có bể bơi trong vườn cũng rất mát có thể thoải mái tắm vào buổi trưa. Các bạn lễ tân dịch vụ rất nhiệt tình trợ giúp lúc nhà mình gặp sự cố bị ngộ độc do ăn trưa ở nhà hàng bên ngoài khách sạn. (đặc biệt là anh Minh Bell) Minh chắc chắn sẽ quay trở lại Furama vào lần tới."
4853,"Khách sạn không được mới lắm nhưng đúng chuẩn 5 sao , tôi đã tới và trải nghiệm dịch vụ ăn tối trong dịp Tết nguyên đán vừa qua . Buffet khá đầy đủ , các bạn nhân viên rất nhiệt tình . Tuy nhiên có thể do ảnh hưởng của dịch covid nên một số cảnh quan xung quanh nhà hàng chưa được chau truốt lắm Mặc dù vậy tôi vẫn rất thích đồ ăn ở đây và có trải nghiệm tuyệt vời :)"
4854,"Phòng mang hơi hướng cổ điển, chất lượng phục vụ phải nói là trên cả tuyệt vời. Nếu có cơ hội mình nhất định sẽ quay lại đây. Nhưng mình khuyên các bạn nên đi vào mùa hè thì cơ hội trải nghiệm biển cùng hồ bơi sẽ tuyệt vời hơn rất nhiều..."
4855,"Mình rất thích ở nơi này, mang lại cho mình cảm giác ấm cúng phòng ốc sạch sẽ, nhân viên rất dễ thương và thân thiện, món ăn thì hợp với khẩu vị của gia đình mình, nếu có cơ hội mình sẽ tiếp tục chọn nơi này"
4856,"Một resort có thể gọi là lâu đời ở Đà Nẵng, trước lúc đi cũng e ngại ko biết có bị cũ kỹ quá không, nhưng sau khi đi 1 reort mới cũng ở Đà Nẵng và đi tiếp Furama mình mới so sánh dịch vụ và tiện ích ở đây thật tuyệt vời. Nhân viên thì rất thân thiện. Gia đình mình đã có 2 ngày nghĩ thật tuyệt."
4857,"Chúng tôi đặt phòng qua asianwaytravel.com để có giá tốt hơn cho kì nghỉ này. Một trong những khu nghỉ dưỡng đầu tiên tại Đà Nẵng nhưng dịch vụ không có dấu hiệu xuống cấp. Phòng tuyệt đẹp, sạch tuyệt đối dù là khu nghỉ dưỡng biển, sàn không hề có cát. Bể bơi nước rất sạch, không có mùi và nước rất ấm về chiều. Bãi cát đẹp, sạch. Quầy bar cuối tuần với ban nhạc Phillipines nhẹ nhàng, rất đáng trải nghiệm. Đồ ăn sáng và phục vụ thời covid có giảm bớt nhưng chấp nhận được. Xứng đáng là 1 trong những khách sạn tốt nhất miền trung."
4858,Cảm thấy rất vui vì ngôi nhà rất rộng rãi thoáng mát gần gũi thiên nhiên và tràn ngập ánh sáng . Phòng ốc thì sạch sẽ và luôn được bảo trì . Gia đình rất vui vì điều này Đi lại thuận tiện Đến hội an cũng mất 30p Đi vào trung tâm thành phố rất nhanh mua sắm và cuối ngày luôn dc tắm biển Bể bơi rộng rãi thoáng mát Chúng tôi có kỳ nghỉ thật đáng mơ ước
4859,"Nhìn thấy khách check in nhưng thái độ rất lạnh lùng, ko hiểu khách sạn 5***** cái kiểu gì. Giải đáp thắc mắc ko được xong cứ lủi lủi đi làm việc khác. Chán. Lần cuối và lần đầu chọn ở đây. Recommend cho các bạn Đà Nẵng còn rất nhiều khách sạn đẹp đẳng cấp và xứng tầm hơn khách sạn cũ kỹ gắn tag 5***** này"
4860,gd nhỏ book 6 ngày cho honeymoon điều đầu tiên cho điểm cộng là đề cao sự relax hết mức xung quanh khá yên tĩnh và vườn cây khá rậm :)) ở đây có 2 hồ nhưng hồ lớn ngoài thì mn dùng nhiều hơn hồ loug thì do có cây nhiều nên lá rụng nhiều .. ra ngủ trưa thì hết sẩy đặc biệt là khuôn viên khá rộng nên bé được chơi thoãi mái và mấy a/c cũng k ngại chơi vs bé - nhân viên cực kì thân thiện . từ lễ tân đến phục vụ phòng - trái cây miễn phí mỗi ngày - dọn phòng theo giờ cho mình luôn - buffe sáng có phần hơi ít món lặp lại nhiều - spa ở đây hơi bị hịn luôn :)) dân mê spa thì k nên bỏ qua nhé mình ở ngay dịp tết nên mn khá ấm cúng. bé con sáng còn dc lì xì tết ❤️ sẽ quay lại với furama 1 lần nữa
4861,"Resort rất đẹp. Nhân viên thân thiện, nhiệt tình. Có đủ các dịch vụ. Ẩm thực ở đây rất hợp khẩu vị của gia đình. Phòng bố trí đẹp, sạch sẽ, tiện nghi đầy đủ, hiện đại. Resort chuyên nghiệp, phục vụ tốt. Chắc chắn sẽ quay lai"
4862,"Chúng tôi ở đây vào đúng ngày lễ 20-10, nhân viên rất nhiệt tình, dễ mến. Đặc biệt đồ dùng trong phòng tắm rất thân thiên với môi trường, dùng giấy để đựng bàn chải, xà bông, có túi cói đựng đồ cho khách đi tắm biển, đi hồ bơi... Cả khu nghỉ dưỡng như một ốc đảo xanh giữa lòng thành phố ĐN xinh đẹp. Bữa buffe sáng nhiều món ngon, nhân viên lịch thiệp.... nói chung rất hài lòng."
4863,"Chúng tôi đã ở đây vào tháng 7, các bạn lễ tân rất thân thiện, mọi thứ sạch, đẹp, thức ăn ngon, phục vụ bữa sáng đa dạng, cà phê, món Âu, Á, Nhin chung mọi thứ đều ồn, tuy nhiên , khách sạn cần cải thiện phần lau dọn phòng !"
4864,"Tôi không ở đây, chỉ vào sử dụng dịch vụ. Có 1 nhân viên đưa menu va đi. Sau 30 phút vẫn chưa quay lại. Ở đây nhân viên không quan tâm khách việt. Họ thích nói tiếng anh với khách nước ngoài. Tôi không biết khi nào mới có nguoi phục vụ đâyyyyyyyyy"
